"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"28","98bc3a1e-ad8a-4713-be5a-2e66d2a67e41","Akademia Jagiellońska w Toruniu","2003-09-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","871681089","9562110170","","204","281","","http://www.aj.torun.pl","kontakt@aj.torun.pl","695000011","/KolegiumJagiellonsk/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Prosta","4","87-100","Toruń","Joanna Maria Górska-Szymczak - Rektor","8394f1e4-74f9-4173-bd93-5d75b77e4bd2",,,,,"Akademia Jagiellońska w Toruniu","2022-12-09",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-09-09","Działająca","2003-09-09","akademicka","2022-10-01","ul. Prosta 4, 87-100 Toruń, woj. kujawsko-pomorskie, Polska","2003-09-09"
"29","98bc3a1e-ad8a-4713-be5a-2e66d2a67e41","Akademia Jagiellońska w Toruniu","2003-09-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","871681089","9562110170","","204","281","","http://www.aj.torun.pl","kontakt@aj.torun.pl","695000011","/KolegiumJagiellonsk/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Prosta","4","87-100","Toruń","Joanna Maria Górska-Szymczak - Rektor","8394f1e4-74f9-4173-bd93-5d75b77e4bd2",,,,,"Toruńska Szkoła Wyższa","2003-09-09",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-09-09","Działająca","2003-09-09","zawodowa","2003-09-09","ul. Prosta 4, 87-100 Toruń, woj. kujawsko-pomorskie, Polska","2003-09-09"
"30","98bc3a1e-ad8a-4713-be5a-2e66d2a67e41","Akademia Jagiellońska w Toruniu","2003-09-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","871681089","9562110170","","204","281","","http://www.aj.torun.pl","kontakt@aj.torun.pl","695000011","/KolegiumJagiellonsk/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Prosta","4","87-100","Toruń","Joanna Maria Górska-Szymczak - Rektor","8394f1e4-74f9-4173-bd93-5d75b77e4bd2",,,,,"Toruńska Szkoła Wyższa","2003-09-09",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-09-09","Działająca","2003-09-09","akademicka","2022-10-01","ul. Prosta 4, 87-100 Toruń, woj. kujawsko-pomorskie, Polska","2003-09-09"
"31","98bc3a1e-ad8a-4713-be5a-2e66d2a67e41","Akademia Jagiellońska w Toruniu","2003-09-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","871681089","9562110170","","204","281","","http://www.aj.torun.pl","kontakt@aj.torun.pl","695000011","/KolegiumJagiellonsk/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Prosta","4","87-100","Toruń","Joanna Maria Górska-Szymczak - Rektor","8394f1e4-74f9-4173-bd93-5d75b77e4bd2",,,,,"Kolegium Jagiellońskie – Toruńska Szkoła Wyższa","2013-09-11",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-09-09","Działająca","2003-09-09","zawodowa","2003-09-09","ul. Prosta 4, 87-100 Toruń, woj. kujawsko-pomorskie, Polska","2003-09-09"
"32","98bc3a1e-ad8a-4713-be5a-2e66d2a67e41","Akademia Jagiellońska w Toruniu","2003-09-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","871681089","9562110170","","204","281","","http://www.aj.torun.pl","kontakt@aj.torun.pl","695000011","/KolegiumJagiellonsk/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Prosta","4","87-100","Toruń","Joanna Maria Górska-Szymczak - Rektor","8394f1e4-74f9-4173-bd93-5d75b77e4bd2",,,,,"Kolegium Jagiellońskie – Toruńska Szkoła Wyższa","2013-09-11",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-09-09","Działająca","2003-09-09","akademicka","2022-10-01","ul. Prosta 4, 87-100 Toruń, woj. kujawsko-pomorskie, Polska","2003-09-09"
"33","e8c292f9-7b79-4d42-8480-d0c7f7a5787b","Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","1999-07-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","250938764","6181880248","","335","","","https://akademia.kalisz.pl/","rektorat@akademia.kalisz.pl","+48627679500","/pwszpswk/SkrytkaESP","Polska","wielkopolskie","ul. Nowy Świat","4","62-800","Kalisz","Andrzej Franciszek Wojtyła - Rektor","f2dcd640-7701-4458-9a5d-6736ff2ede89",,,,,"Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","2020-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-15","Działająca","1999-07-15","akademicka","1999-07-15","ul. Nowy Świat 4, 62-800 Kalisz, woj. wielkopolskie, Polska","1999-07-15"
"34","e8c292f9-7b79-4d42-8480-d0c7f7a5787b","Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","1999-07-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","250938764","6181880248","","335","","","https://akademia.kalisz.pl/","rektorat@akademia.kalisz.pl","+48627679500","/pwszpswk/SkrytkaESP","Polska","wielkopolskie","ul. Nowy Świat","4","62-800","Kalisz","Andrzej Franciszek Wojtyła - Rektor","f2dcd640-7701-4458-9a5d-6736ff2ede89",,,,,"Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","2020-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-15","Działająca","1999-07-15","zawodowa","1999-07-16","ul. Nowy Świat 4, 62-800 Kalisz, woj. wielkopolskie, Polska","1999-07-15"
"35","e8c292f9-7b79-4d42-8480-d0c7f7a5787b","Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","1999-07-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","250938764","6181880248","","335","","","https://akademia.kalisz.pl/","rektorat@akademia.kalisz.pl","+48627679500","/pwszpswk/SkrytkaESP","Polska","wielkopolskie","ul. Nowy Świat","4","62-800","Kalisz","Andrzej Franciszek Wojtyła - Rektor","f2dcd640-7701-4458-9a5d-6736ff2ede89",,,,,"Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","2020-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-15","Działająca","1999-07-15","akademicka","2022-10-01","ul. Nowy Świat 4, 62-800 Kalisz, woj. wielkopolskie, Polska","1999-07-15"
"36","e8c292f9-7b79-4d42-8480-d0c7f7a5787b","Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","1999-07-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","250938764","6181880248","","335","","","https://akademia.kalisz.pl/","rektorat@akademia.kalisz.pl","+48627679500","/pwszpswk/SkrytkaESP","Polska","wielkopolskie","ul. Nowy Świat","4","62-800","Kalisz","Andrzej Franciszek Wojtyła - Rektor","f2dcd640-7701-4458-9a5d-6736ff2ede89",,,,,"Państwowa Wyższa Szkoła Zawodowa im. Prezydenta Stanisława Wojciechowskiego w Kaliszu","1999-07-15",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-15","Działająca","1999-07-15","akademicka","1999-07-15","ul. Nowy Świat 4, 62-800 Kalisz, woj. wielkopolskie, Polska","1999-07-15"
"37","e8c292f9-7b79-4d42-8480-d0c7f7a5787b","Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","1999-07-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","250938764","6181880248","","335","","","https://akademia.kalisz.pl/","rektorat@akademia.kalisz.pl","+48627679500","/pwszpswk/SkrytkaESP","Polska","wielkopolskie","ul. Nowy Świat","4","62-800","Kalisz","Andrzej Franciszek Wojtyła - Rektor","f2dcd640-7701-4458-9a5d-6736ff2ede89",,,,,"Państwowa Wyższa Szkoła Zawodowa im. Prezydenta Stanisława Wojciechowskiego w Kaliszu","1999-07-15",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-15","Działająca","1999-07-15","zawodowa","1999-07-16","ul. Nowy Świat 4, 62-800 Kalisz, woj. wielkopolskie, Polska","1999-07-15"
"38","e8c292f9-7b79-4d42-8480-d0c7f7a5787b","Akademia Kaliska im. Prezydenta Stanisława Wojciechowskiego","1999-07-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","250938764","6181880248","","335","","","https://akademia.kalisz.pl/","rektorat@akademia.kalisz.pl","+48627679500","/pwszpswk/SkrytkaESP","Polska","wielkopolskie","ul. Nowy Świat","4","62-800","Kalisz","Andrzej Franciszek Wojtyła - Rektor","f2dcd640-7701-4458-9a5d-6736ff2ede89",,,,,"Państwowa Wyższa Szkoła Zawodowa im. Prezydenta Stanisława Wojciechowskiego w Kaliszu","1999-07-15",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-15","Działająca","1999-07-15","akademicka","2022-10-01","ul. Nowy Świat 4, 62-800 Kalisz, woj. wielkopolskie, Polska","1999-07-15"
"39","172797e4-f3c0-41a6-a5f9-56e180ce7787","Akademia Kujawsko-Pomorska","2000-12-29","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","092913192","9671106463","","171","190","","http://www.akp.bydgoszcz.pl","rektorat@akp.bydgoszcz.pl","52-321-11-88","/KPSW-UCZELNIA/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Toruńska","55-57","85-023","Bydgoszcz","Helena Czakowska - Rektor","de2250e5-e346-4eac-b3e7-ca23ab4076f8",,,,,"Akademia Kujawsko-Pomorska","2023-01-24",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2000-12-29","Działająca","2000-12-29","zawodowa","2000-12-29","ul. Toruńska 55-57, 85-023 Bydgoszcz, woj. kujawsko-pomorskie, Polska","2000-12-29"
"40","172797e4-f3c0-41a6-a5f9-56e180ce7787","Akademia Kujawsko-Pomorska","2000-12-29","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","092913192","9671106463","","171","190","","http://www.akp.bydgoszcz.pl","rektorat@akp.bydgoszcz.pl","52-321-11-88","/KPSW-UCZELNIA/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Toruńska","55-57","85-023","Bydgoszcz","Helena Czakowska - Rektor","de2250e5-e346-4eac-b3e7-ca23ab4076f8",,,,,"Akademia Kujawsko-Pomorska","2023-01-24",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2000-12-29","Działająca","2000-12-29","akademicka","2022-10-01","ul. Toruńska 55-57, 85-023 Bydgoszcz, woj. kujawsko-pomorskie, Polska","2000-12-29"
"41","172797e4-f3c0-41a6-a5f9-56e180ce7787","Akademia Kujawsko-Pomorska","2000-12-29","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","092913192","9671106463","","171","190","","http://www.akp.bydgoszcz.pl","rektorat@akp.bydgoszcz.pl","52-321-11-88","/KPSW-UCZELNIA/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Toruńska","55-57","85-023","Bydgoszcz","Helena Czakowska - Rektor","de2250e5-e346-4eac-b3e7-ca23ab4076f8",,,,,"Kujawsko-Pomorska Szkoła Wyższa w Bydgoszczy","2000-12-29",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2000-12-29","Działająca","2000-12-29","zawodowa","2000-12-29","ul. Toruńska 55-57, 85-023 Bydgoszcz, woj. kujawsko-pomorskie, Polska","2000-12-29"
"42","172797e4-f3c0-41a6-a5f9-56e180ce7787","Akademia Kujawsko-Pomorska","2000-12-29","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","092913192","9671106463","","171","190","","http://www.akp.bydgoszcz.pl","rektorat@akp.bydgoszcz.pl","52-321-11-88","/KPSW-UCZELNIA/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Toruńska","55-57","85-023","Bydgoszcz","Helena Czakowska - Rektor","de2250e5-e346-4eac-b3e7-ca23ab4076f8",,,,,"Kujawsko-Pomorska Szkoła Wyższa w Bydgoszczy","2000-12-29",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2000-12-29","Działająca","2000-12-29","akademicka","2022-10-01","ul. Toruńska 55-57, 85-023 Bydgoszcz, woj. kujawsko-pomorskie, Polska","2000-12-29"
"43","d5f072fd-5060-4d4e-84cd-e0313f85459f","Akademia Leona Koźmińskiego w Warszawie","1993-05-12","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","010228830","5241005438","","104","17","","http://www.kozminski.edu.pl","rektorat@kozminski.edu.pl","22 519 21 12","/AkademiaLK/skrytka","Polska","mazowieckie","ul. Jagiellońska","59","03-301","Warszawa","GRZEGORZ MAZUREK - Rektor","e98365bf-5b0d-4f1d-b496-f935128098c6",,,,,"Akademia Leona Koźmińskiego w Warszawie","1993-05-12",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1993-05-12","Działająca","1993-05-12","akademicka","1993-05-12","ul. Jagiellońska 59/-, 03-301 Warszawa, woj. mazowieckie, Polska","1993-05-12"
"44","3b7a72f4-78d9-4c46-8876-932d37791dd0","Akademia Marynarki Wojennej im. Bohaterów Westerplatte","1922-10-01","Minister Obrony Narodowej","Uczelnia publiczna","Nie","","","","akademicka","","190064136","5860104693","","371","","","http://www.amw.gdynia.pl","rektor@amw.gdynia.pl","261 26 25 14","\AMW\SkrytkaESP","Polska","pomorskie","ul. inż. J. Śmidowicza","69","81-127","Gdynia","Tomasz Ryszard SZUBRYCHT - Rektor","99210bee-3c98-4e3e-be84-741a1d25c104",,,,,"Akademia Marynarki Wojennej im. Bohaterów Westerplatte","1922-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Obrony Narodowej","1922-10-01","Działająca","1922-10-01","akademicka","1922-10-01","ul. inż. J. Śmidowicza 69/-, 81-127 Gdynia, woj. pomorskie, Polska","1922-10-01"
"45","fb0b716b-b98a-4c7a-a0bd-40c352f67d34","Akademia Mazowiecka w Płocku","1999-07-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","611038403","7742472620","","343","","","https://mazowiecka.edu.pl/","mazowiecka@mazowiecka.edu.pl","24 366 54 20","/PWSZ_PLOCK/skrytka","Polska","mazowieckie","pl. gen. Jarosława Dąbrowskiego","2","09-402","Płock","Maciej Marcin Słodki - Rektor","b86faf6f-c90c-4f67-86aa-90e62cd68ca7",,,,,"Mazowiecka Uczelnia Publiczna w Płocku","2019-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-01","Działająca","1999-07-01","zawodowa","1999-07-01","pl. gen. Jarosława Dąbrowskiego 2, 09-402 Płock, woj. mazowieckie, Polska","1999-07-01"
"46","fb0b716b-b98a-4c7a-a0bd-40c352f67d34","Akademia Mazowiecka w Płocku","1999-07-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","611038403","7742472620","","343","","","https://mazowiecka.edu.pl/","mazowiecka@mazowiecka.edu.pl","24 366 54 20","/PWSZ_PLOCK/skrytka","Polska","mazowieckie","pl. gen. Jarosława Dąbrowskiego","2","09-402","Płock","Maciej Marcin Słodki - Rektor","b86faf6f-c90c-4f67-86aa-90e62cd68ca7",,,,,"Mazowiecka Uczelnia Publiczna w Płocku","2019-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-01","Działająca","1999-07-01","akademicka","2022-10-01","pl. gen. Jarosława Dąbrowskiego 2, 09-402 Płock, woj. mazowieckie, Polska","1999-07-01"
"47","fb0b716b-b98a-4c7a-a0bd-40c352f67d34","Akademia Mazowiecka w Płocku","1999-07-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","611038403","7742472620","","343","","","https://mazowiecka.edu.pl/","mazowiecka@mazowiecka.edu.pl","24 366 54 20","/PWSZ_PLOCK/skrytka","Polska","mazowieckie","pl. gen. Jarosława Dąbrowskiego","2","09-402","Płock","Maciej Marcin Słodki - Rektor","b86faf6f-c90c-4f67-86aa-90e62cd68ca7",,,,,"Akademia Mazowiecka w Płocku","2022-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-01","Działająca","1999-07-01","zawodowa","1999-07-01","pl. gen. Jarosława Dąbrowskiego 2, 09-402 Płock, woj. mazowieckie, Polska","1999-07-01"
"48","fb0b716b-b98a-4c7a-a0bd-40c352f67d34","Akademia Mazowiecka w Płocku","1999-07-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","611038403","7742472620","","343","","","https://mazowiecka.edu.pl/","mazowiecka@mazowiecka.edu.pl","24 366 54 20","/PWSZ_PLOCK/skrytka","Polska","mazowieckie","pl. gen. Jarosława Dąbrowskiego","2","09-402","Płock","Maciej Marcin Słodki - Rektor","b86faf6f-c90c-4f67-86aa-90e62cd68ca7",,,,,"Akademia Mazowiecka w Płocku","2022-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-01","Działająca","1999-07-01","akademicka","2022-10-01","pl. gen. Jarosława Dąbrowskiego 2, 09-402 Płock, woj. mazowieckie, Polska","1999-07-01"
"49","fb0b716b-b98a-4c7a-a0bd-40c352f67d34","Akademia Mazowiecka w Płocku","1999-07-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","611038403","7742472620","","343","","","https://mazowiecka.edu.pl/","mazowiecka@mazowiecka.edu.pl","24 366 54 20","/PWSZ_PLOCK/skrytka","Polska","mazowieckie","pl. gen. Jarosława Dąbrowskiego","2","09-402","Płock","Maciej Marcin Słodki - Rektor","b86faf6f-c90c-4f67-86aa-90e62cd68ca7",,,,,"Państwowa Wyższa Szkoła Zawodowa w Płocku","1999-07-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-01","Działająca","1999-07-01","zawodowa","1999-07-01","pl. gen. Jarosława Dąbrowskiego 2, 09-402 Płock, woj. mazowieckie, Polska","1999-07-01"
"50","fb0b716b-b98a-4c7a-a0bd-40c352f67d34","Akademia Mazowiecka w Płocku","1999-07-01","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","611038403","7742472620","","343","","","https://mazowiecka.edu.pl/","mazowiecka@mazowiecka.edu.pl","24 366 54 20","/PWSZ_PLOCK/skrytka","Polska","mazowieckie","pl. gen. Jarosława Dąbrowskiego","2","09-402","Płock","Maciej Marcin Słodki - Rektor","b86faf6f-c90c-4f67-86aa-90e62cd68ca7",,,,,"Państwowa Wyższa Szkoła Zawodowa w Płocku","1999-07-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1999-07-01","Działająca","1999-07-01","akademicka","2022-10-01","pl. gen. Jarosława Dąbrowskiego 2, 09-402 Płock, woj. mazowieckie, Polska","1999-07-01"
"51","cfa5bbee-e754-4694-9f50-3226c91dd7cb","Akademia Muzyczna im. Feliksa Nowowiejskiego w Bydgoszczy","1974-10-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000842390","5540313225","","309","","","http://www.amuz.bydgoszcz.pl","sekr@amuz.bydgoszcz.pl","(52) 321-11-42","/ambydgoszcz/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Juliusza Słowackiego","7","85-008","Bydgoszcz","Elżbieta Wtorkowska - Rektor","",,,,,"Akademia Muzyczna im. Feliksa Nowowiejskiego w Bydgoszczy","1974-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1974-10-01","Działająca","1974-10-01","akademicka","1974-10-01","ul. Juliusza Słowackiego 7, 85-008 Bydgoszcz, woj. kujawsko-pomorskie, Polska","1974-10-01"
"52","1cdeb0b0-d2cb-4790-b753-32804af5202f","Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi","1946-10-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275725","7240005176","","313","","","http://www.amuz.lodz.pl/","kancelaria@amuz.lodz.pl","42 6621663","/Akademia_Muzyczna_w_Lodzi/SkrytkaESP","Polska","łódzkie","ul. Gdańska","32","90-716","Łódź","Elżbieta Aleksandrowicz - Rektor","09dac83d-62d1-439f-93b0-183d7c7c90ed",,,,,"Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi","1946-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1946-10-01","Działająca","1946-10-01","akademicka","1946-10-01","ul. Gdańska 32, 90-716 Łódź, woj. łódzkie, Polska","1946-10-01"
"53","ef468625-bba7-4557-8b5b-d6caea8d296c","Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu","1920-10-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275731","7781331533","","314","","","http://www.amuz.edu.pl","amuz@amuz.edu.pl","(61)  856 89 00","/AmuzPoznan/skrytka","Polska","wielkopolskie","ul. Święty Marcin","87","61-808","Poznań","HANNA KOSTRZEWSKA - Rektor","c2c9abaf-a055-4f40-a45d-a46b097edb88",,,,,"Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu","1920-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1920-10-01","Działająca","1920-10-01","akademicka","1920-10-01","ul. Święty Marcin 87, 61-808 Poznań, woj. wielkopolskie, Polska","1920-10-01"
"54","cda93a67-5464-42e6-853b-d2666a5f7e41","Akademia Muzyczna im. Karola Lipińskiego we Wrocławiu","1948-11-05","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275748","8971546349","","315","","","http://www.amuz.wroc.pl","info@amkl.edu.pl","713100500","/amuz/SkrytkaESP","Polska","dolnośląskie","pl. Jana Pawła II","2","50-043","Wrocław","KRYSTIAN KIEŁB - Rektor","402eb4e5-5b6c-472f-a227-a4198e6b293c",,,,,"Akademia Muzyczna im. Karola Lipińskiego we Wrocławiu","1948-11-05",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1948-11-05","Działająca","1948-11-05","akademicka","1948-11-05","pl. Jana Pawła II 2, 50-043 Wrocław, woj. dolnośląskie, Polska","1948-11-05"
"55","f9469b78-28ba-4ae7-a8a7-75deeebf53b7","Akademia Muzyczna im. Karola Szymanowskiego w Katowicach","1948-11-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275760","6340136434","","311","","","http://am.katowice.pl","rektor@am.katowice.pl","32 7792111","/amuzkatowice/SkrytkaESP","Polska","śląskie","ul. Zacisze","3","40-025","Katowice","Władysław prof. dr hab. Szymański - Rektor","",,,,,"Akademia Muzyczna im. Karola Szymanowskiego w Katowicach","1948-11-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1948-11-01","Działająca","1948-11-01","akademicka","1948-11-01","ul. Zacisze 3, 40-025 Katowice, woj. śląskie, Polska","1948-11-01"
"56","5befab98-bc6e-4039-8315-eed54f8cce0f","Akademia Muzyczna im. Krzysztofa Pendereckiego w Krakowie","1888-02-01","Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","Uczelnia publiczna","Nie","","","","akademicka","","000275719","6750007587","","312","","","https://www.amuz.krakow.pl","rektor@amuz.krakow.pl","+48 12 422 04 55","/AkademiaMuzycznawKrakowie/SkrytkaESP","Polska","małopolskie","ul. św. Tomasza","43","31-027","Kraków","Wojciech Widłak - Rektor","8786c82b-9267-4436-881b-99c32dd44302",,,,,"Akademia Muzyczna im. Krzysztofa Pendereckiego w Krakowie","2021-01-01",,,,,,,,,,,,,,,,,,,,,"Minister Kultury, Dziedzictwa Narodowego i Sportu (poprzednio MKiDN)","1888-02-01","Działająca","1888-02-01","akademicka","1888-02-01","ul. św. Tomasza 43, 31-027 Kraków, woj. małopolskie, Polska","1888-02-01"
